category,sample_idx,layer_idx,head_idx,kl
2,0,0,0,1.5527556
2,0,0,1,0.25095195
2,0,0,2,0.44003764
2,0,0,3,0.35423294
2,0,0,4,1.4632999
2,0,0,5,0.41059452
2,0,0,6,0.5987213
2,0,0,7,0.40208054
2,0,0,8,0.27038702
2,0,0,9,0.3979209
2,0,0,10,0.1081727
2,0,0,11,0.69374365
2,0,1,0,0.14917889
2,0,1,1,0.52687955
2,0,1,2,1.2256157
2,0,1,3,0.24860719
2,0,1,4,0.33362943
2,0,1,5,0.24203995
2,0,1,6,0.35025328
2,0,1,7,0.20123684
2,0,1,8,4.30958
2,0,1,9,0.99580085
2,0,1,10,0.50066555
2,0,1,11,0.24279948
2,0,2,0,0.15269132
2,0,2,1,0.36385334
2,0,2,2,0.48481303
2,0,2,3,0.5015038
2,0,2,4,0.51228994
2,0,2,5,0.13986379
2,0,2,6,0.047622427
2,0,2,7,0.46378097
2,0,2,8,0.11982679
2,0,2,9,0.2663328
2,0,2,10,0.18683113
2,0,2,11,2.029131
2,0,3,0,0.40228644
2,0,3,1,0.8128393
2,0,3,2,0.09165459
2,0,3,3,0.74663496
2,0,3,4,0.093626246
2,0,3,5,0.65933645
2,0,3,6,0.25971586
2,0,3,7,0.23193252
2,0,3,8,0.4915813
2,0,3,9,0.22405282
2,0,3,10,0.23255691
2,0,3,11,0.32172298
2,0,4,0,0.09821424
2,0,4,1,0.39561206
2,0,4,2,1.1705287
2,0,4,3,1.4919714
2,0,4,4,0.122483715
2,0,4,5,1.534775
2,0,4,6,1.2574041
2,0,4,7,0.8237109
2,0,4,8,0.09926526
2,0,4,9,0.23218174
2,0,4,10,0.09905541
2,0,4,11,0.59977347
2,0,5,0,0.57875365
2,0,5,1,0.64180726
2,0,5,2,0.25710505
2,0,5,3,0.14706078
2,0,5,4,0.41497526
2,0,5,5,0.28589705
2,0,5,6,0.17231458
2,0,5,7,0.22865054
2,0,5,8,1.2119032
2,0,5,9,0.23244679
2,0,5,10,0.11440804
2,0,5,11,0.16868871
2,0,6,0,1.0005143
2,0,6,1,0.44416863
2,0,6,2,0.12642853
2,0,6,3,0.6692313
2,0,6,4,1.4965197
2,0,6,5,0.86194944
2,0,6,6,0.18714014
2,0,6,7,0.32269707
2,0,6,8,1.5400913
2,0,6,9,0.49047804
2,0,6,10,0.10965762
2,0,6,11,0.28534555
2,0,7,0,0.2533779
2,0,7,1,0.36400992
2,0,7,2,0.59353274
2,0,7,3,0.39365563
2,0,7,4,0.14069057
2,0,7,5,0.42456517
2,0,7,6,0.12992458
2,0,7,7,2.5825665
2,0,7,8,0.33831644
2,0,7,9,2.285984
2,0,7,10,0.06327142
2,0,7,11,1.9735142
2,0,8,0,2.9281871
2,0,8,1,0.736415
2,0,8,2,0.35645112
2,0,8,3,0.6897513
2,0,8,4,0.36713564
2,0,8,5,0.6709021
2,0,8,6,1.935072
2,0,8,7,0.8668607
2,0,8,8,0.32330942
2,0,8,9,0.43790418
2,0,8,10,2.019861
2,0,8,11,0.39616707
2,0,9,0,0.05394839
2,0,9,1,2.534754
2,0,9,2,0.12427564
2,0,9,3,0.38931382
2,0,9,4,0.31497377
2,0,9,5,2.8567736
2,0,9,6,2.951056
2,0,9,7,0.23655283
2,0,9,8,0.3393163
2,0,9,9,0.57932246
2,0,9,10,1.8941799
2,0,9,11,1.4733555
2,0,10,0,3.2869415
2,0,10,1,1.7863137
2,0,10,2,3.3411775
2,0,10,3,0.067797825
2,0,10,4,1.004873
2,0,10,5,0.49269605
2,0,10,6,1.3937318
2,0,10,7,0.67615056
2,0,10,8,0.9328434
2,0,10,9,0.43419448
2,0,10,10,2.5620298
2,0,10,11,3.5023465
2,0,11,0,2.539672
2,0,11,1,1.9045578
2,0,11,2,0.35730362
2,0,11,3,0.75832134
2,0,11,4,0.16412432
2,0,11,5,3.1900249
2,0,11,6,5.48624
2,0,11,7,4.0088954
2,0,11,8,5.038891
2,0,11,9,0.32934636
2,0,11,10,1.6161289
2,0,11,11,0.23823655
2,1,0,0,1.0089633
2,1,0,1,0.26309824
2,1,0,2,0.41664663
2,1,0,3,0.33119425
2,1,0,4,1.601402
2,1,0,5,0.54802954
2,1,0,6,0.6847721
2,1,0,7,0.32456735
2,1,0,8,0.15237042
2,1,0,9,0.43390298
2,1,0,10,0.27916524
2,1,0,11,0.6108632
2,1,1,0,0.19730224
2,1,1,1,0.48816696
2,1,1,2,0.8211157
2,1,1,3,0.14525399
2,1,1,4,0.40480345
2,1,1,5,0.2574548
2,1,1,6,0.15777108
2,1,1,7,0.25736275
2,1,1,8,3.560681
2,1,1,9,0.5079681
2,1,1,10,0.30660644
2,1,1,11,0.25721624
2,1,2,0,0.09874718
2,1,2,1,0.23883954
2,1,2,2,0.8843557
2,1,2,3,0.33069414
2,1,2,4,0.35437042
2,1,2,5,0.15228462
2,1,2,6,0.30726594
2,1,2,7,0.2846296
2,1,2,8,0.18948172
2,1,2,9,0.14984687
2,1,2,10,0.13934852
