category,sample_idx,layer_idx,head_idx,kl
2,0,0,0,2.6446283
2,0,0,1,2.1722493
2,0,0,2,1.3548851
2,0,0,3,2.7061887
2,0,0,4,0.9125828
2,0,0,5,1.333564
2,0,0,6,2.3464878
2,0,0,7,1.4333833
2,0,0,8,2.7960424
2,0,0,9,0.9466743
2,0,0,10,2.7148452
2,0,0,11,2.22561
2,0,1,0,3.7287743
2,0,1,1,2.292349
2,0,1,2,1.8320457
2,0,1,3,4.572957
2,0,1,4,3.663233
2,0,1,5,0.75788426
2,0,1,6,5.6126676
2,0,1,7,4.2948155
2,0,1,8,3.255651
2,0,1,9,2.9972756
2,0,1,10,3.665803
2,0,1,11,4.107057
2,0,2,0,1.5976433
2,0,2,1,1.1121045
2,0,2,2,4.634217
2,0,2,3,3.2916434
2,0,2,4,2.4396899
2,0,2,5,4.648222
2,0,2,6,2.2922387
2,0,2,7,4.995587
2,0,2,8,1.3536147
2,0,2,9,0.72048044
2,0,2,10,2.5971708
2,0,2,11,4.3707585
2,0,3,0,1.8765113
2,0,3,1,2.969619
2,0,3,2,5.406748
2,0,3,3,4.3291116
2,0,3,4,1.354788
2,0,3,5,2.43837
2,0,3,6,1.9434613
2,0,3,7,8.692461
2,0,3,8,2.3497057
2,0,3,9,0.728363
2,0,3,10,1.7309707
2,0,3,11,1.2306828
2,0,4,0,1.292575
2,0,4,1,3.678417
2,0,4,2,0.66777307
2,0,4,3,2.3025625
2,0,4,4,2.5555916
2,0,4,5,4.2369046
2,0,4,6,1.1366811
2,0,4,7,1.6385093
2,0,4,8,3.299843
2,0,4,9,1.4342724
2,0,4,10,1.6201233
2,0,4,11,7.2415056
2,0,5,0,0.52969813
2,0,5,1,3.3860786
2,0,5,2,3.2402735
2,0,5,3,0.67762893
2,0,5,4,6.819844
2,0,5,5,2.8767917
2,0,5,6,4.9982867
2,0,5,7,1.57825
2,0,5,8,6.9604936
2,0,5,9,3.7586899
2,0,5,10,6.0067067
2,0,5,11,0.38377854
2,0,6,0,3.3843832
2,0,6,1,2.6836424
2,0,6,2,7.6851115
2,0,6,3,3.512325
2,0,6,4,1.999129
2,0,6,5,4.848566
2,0,6,6,3.195482
2,0,6,7,1.6265724
2,0,6,8,1.2680417
2,0,6,9,0.44975585
2,0,6,10,2.6201353
2,0,6,11,1.6460513
2,0,7,0,1.479127
2,0,7,1,4.4560165
2,0,7,2,2.2627604
2,0,7,3,6.343686
2,0,7,4,6.273566
2,0,7,5,2.0844054
2,0,7,6,2.4560843
2,0,7,7,5.396005
2,0,7,8,3.0328126
2,0,7,9,0.73776174
2,0,7,10,2.028976
2,0,7,11,4.830727
2,0,8,0,4.4569535
2,0,8,1,3.2927516
2,0,8,2,3.1401873
2,0,8,3,5.514873
2,0,8,4,12.637458
2,0,8,5,18.080462
2,0,8,6,0.6428864
2,0,8,7,9.903908
2,0,8,8,5.1152606
2,0,8,9,4.411616
2,0,8,10,1.625243
2,0,8,11,2.2995665
2,0,9,0,2.9986029
2,0,9,1,0.94617003
2,0,9,2,2.514823
2,0,9,3,1.3828138
2,0,9,4,2.719589
2,0,9,5,8.788205
2,0,9,6,5.3467793
2,0,9,7,3.3765268
2,0,9,8,3.934347
2,0,9,9,3.148925
2,0,9,10,9.864557
2,0,9,11,5.6050677
2,0,10,0,2.9055567
2,0,10,1,1.5513966
2,0,10,2,3.278514
2,0,10,3,3.1000443
2,0,10,4,3.8171282
2,0,10,5,0.6358742
2,0,10,6,6.2666035
2,0,10,7,9.400176
2,0,10,8,3.950216
2,0,10,9,3.4966402
2,0,10,10,4.051101
2,0,10,11,2.1690369
2,0,11,0,3.8028917
2,0,11,1,1.1004392
2,0,11,2,1.8502076
2,0,11,3,6.014577
2,0,11,4,4.1373315
2,0,11,5,16.847181
2,0,11,6,1.7595088
2,0,11,7,10.283399
2,0,11,8,4.828796
2,0,11,9,2.0796163
2,0,11,10,14.958768
2,0,11,11,1.338543
2,1,0,0,2.27643
2,1,0,1,1.6847376
2,1,0,2,0.81036025
2,1,0,3,2.2675004
2,1,0,4,0.6955311
2,1,0,5,0.8050102
2,1,0,6,1.7299433
2,1,0,7,1.0424979
2,1,0,8,1.9131876
2,1,0,9,2.425774
2,1,0,10,2.3129454
2,1,0,11,1.9280733
2,1,1,0,2.71596
2,1,1,1,4.3103495
2,1,1,2,4.1685576
2,1,1,3,1.6625382
2,1,1,4,4.8507266
2,1,1,5,2.0931516
2,1,1,6,2.7681794
2,1,1,7,1.8582569
2,1,1,8,1.9802325
2,1,1,9,2.1276054
2,1,1,10,1.305579
2,1,1,11,1.4064577
2,1,2,0,1.104471
2,1,2,1,2.0109458
2,1,2,2,3.5068908
2,1,2,3,7.2931952
2,1,2,4,3.20176
2,1,2,5,3.3960838
2,1,2,6,4.8273163
2,1,2,7,1.117985
2,1,2,8,1.7318554
2,1,2,9,0.8848138
2,1,2,10,0.37919027
2,1,2,11,2.5268357
2,1,3,0,0.42386883
2,1,3,1,1.4366628
2,1,3,2,3.729592
2,1,3,3,2.3325899
2,1,3,4,1.1218687
2,1,3,5,1.2718849
2,1,3,6,1.8072662
2,1,3,7,4.0903697
2,1,3,8,2.0192313
2,1,3,9,0.2985893
2,1,3,10,0.4146161
2,1,3,11,2.1379306
2,1,4,0,1.3218504
2,1,4,1,3.5915866
2,1,4,2,0.8777115
2,1,4,3,1.8519892
2,1,4,4,1.9614544
2,1,4,5,1.8360593
2,1,4,6,1.3111336
2,1,4,7,4.5642333
2,1,4,8,7.1435623
2,1,4,9,0.97862417
2,1,4,10,0.81261235
2,1,4,11,2.8172927
2,1,5,0,0.51387304
2,1,5,1,4.643966
2,1,5,2,1.902409
2,1,5,3,0.7046289
2,1,5,4,0.9104341
2,1,5,5,2.5742562
2,1,5,6,2.912767
2,1,5,7,1.5942023
2,1,5,8,7.9178667
2,1,5,9,3.0902915
2,1,5,10,4.760161
2,1,5,11,0.8201394
2,1,6,0,2.3038132
2,1,6,1,1.01032
2,1,6,2,4.651528
2,1,6,3,2.5974307
2,1,6,4,2.47611
2,1,6,5,2.599825
2,1,6,6,3.817493
2,1,6,7,3.5574653
2,1,6,8,0.70089144
2,1,6,9,0.3652073
2,1,6,10,3.9974086
2,1,6,11,1.3684149
2,1,7,0,1.9395679
2,1,7,1,1.8024054
2,1,7,2,2.6870563
2,1,7,3,2.0602908
2,1,7,4,7.949729
2,1,7,5,2.8649778
2,1,7,6,1.8421587
2,1,7,7,2.7762706
2,1,7,8,2.122072
2,1,7,9,0.47608462
2,1,7,10,1.2856829
2,1,7,11,1.7723949
2,1,8,0,3.4693713
2,1,8,1,3.6286767
2,1,8,2,1.0008035
2,1,8,3,3.820848
2,1,8,4,12.2876
2,1,8,5,8.717974
2,1,8,6,1.4732416
2,1,8,7,6.658583
2,1,8,8,4.756021
2,1,8,9,1.2168524
2,1,8,10,3.796051
2,1,8,11,0.11970092
2,1,9,0,7.784623
2,1,9,1,1.2936442
2,1,9,2,2.4434438
2,1,9,3,1.6311756
2,1,9,4,1.7458503
2,1,9,5,4.4042077
2,1,9,6,1.3717123
2,1,9,7,2.6418338
2,1,9,8,2.5283654
2,1,9,9,0.9337899
2,1,9,10,6.0491934
2,1,9,11,3.1790462
2,1,10,0,2.141524
2,1,10,1,1.1637313
2,1,10,2,2.87903
2,1,10,3,3.719133
2,1,10,4,3.51353
2,1,10,5,1.5789909
2,1,10,6,3.7034123
2,1,10,7,8.278612
2,1,10,8,5.722609
2,1,10,9,4.349114
2,1,10,10,2.8685048
2,1,10,11,1.892678
2,1,11,0,4.892577
2,1,11,1,2.2090478
2,1,11,2,1.5761919
2,1,11,3,4.167034
2,1,11,4,7.1101403
2,1,11,5,25.064068
2,1,11,6,2.9191754
2,1,11,7,2.221582
2,1,11,8,5.358836
2,1,11,9,6.760995
2,1,11,10,21.035374
2,1,11,11,1.9761997
2,2,0,0,1.3082894
2,2,0,1,2.2318835
2,2,0,2,0.547592
2,2,0,3,2.1922328
2,2,0,4,0.5412191
2,2,0,5,1.3758714
2,2,0,6,1.511244
2,2,0,7,0.81139696
2,2,0,8,2.1870363
2,2,0,9,0.98050755
2,2,0,10,2.2473953
2,2,0,11,2.1829894
2,2,1,0,3.5565853
2,2,1,1,1.249115
2,2,1,2,2.3288724
2,2,1,3,2.6026165
2,2,1,4,3.6981895
2,2,1,5,0.74436873
2,2,1,6,3.8288198
2,2,1,7,3.6543605
2,2,1,8,1.4021422
2,2,1,9,0.9400484
2,2,1,10,3.038451
2,2,1,11,1.0882673
2,2,2,0,1.0350136
2,2,2,1,0.94936687
2,2,2,2,2.680622
