category,sample_idx,layer_idx,head_idx,kl
2,0,0,0,5.18246
2,0,0,1,5.5009704
2,0,0,2,4.6101704
2,0,0,3,4.806093
2,0,0,4,4.8385096
2,0,0,5,3.4490762
2,0,0,6,2.3701618
2,0,0,7,3.3075006
2,0,0,8,6.191289
2,0,0,9,3.509149
2,0,0,10,3.7641718
2,0,0,11,3.2061338
2,0,1,0,4.4846044
2,0,1,1,3.1808882
2,0,1,2,3.3479226
2,0,1,3,5.905302
2,0,1,4,4.773792
2,0,1,5,2.3033562
2,0,1,6,1.4976342
2,0,1,7,1.7558793
2,0,1,8,2.4679196
2,0,1,9,3.2663
2,0,1,10,3.5098894
2,0,1,11,4.054608
2,0,2,0,3.6089728
2,0,2,1,5.0050244
2,0,2,2,2.0728729
2,0,2,3,1.4551735
2,0,2,4,2.238119
2,0,2,5,1.3965421
2,0,2,6,2.0913067
2,0,2,7,5.6149597
2,0,2,8,3.0222764
2,0,2,9,1.1433338
2,0,2,10,1.5176088
2,0,2,11,12.754246
2,0,3,0,2.77991
2,0,3,1,3.384123
2,0,3,2,4.143977
2,0,3,3,1.7720371
2,0,3,4,1.3453894
2,0,3,5,1.0862007
2,0,3,6,2.4011803
2,0,3,7,7.141769
2,0,3,8,2.0671968
2,0,3,9,6.628429
2,0,3,10,2.2911901
2,0,3,11,4.26437
2,0,4,0,2.759206
2,0,4,1,3.2366
2,0,4,2,2.374875
2,0,4,3,4.64056
2,0,4,4,1.7544776
2,0,4,5,1.8231164
2,0,4,6,1.5042748
2,0,4,7,1.7034844
2,0,4,8,1.2317646
2,0,4,9,1.6494248
2,0,4,10,2.8425288
2,0,4,11,3.589495
2,0,5,0,2.5630856
2,0,5,1,2.6890693
2,0,5,2,2.9602487
2,0,5,3,1.4674588
2,0,5,4,5.634408
2,0,5,5,1.656121
2,0,5,6,9.136242
2,0,5,7,0.9249662
2,0,5,8,3.4613135
2,0,5,9,2.5860953
2,0,5,10,9.34357
2,0,5,11,0.53591806
2,0,6,0,3.5015955
2,0,6,1,4.5468464
2,0,6,2,5.0737944
2,0,6,3,5.5740094
2,0,6,4,1.3483105
2,0,6,5,0.96797866
2,0,6,6,2.3518107
2,0,6,7,2.130908
2,0,6,8,2.57471
2,0,6,9,2.8505478
2,0,6,10,1.9224538
2,0,6,11,0.90663433
2,0,7,0,2.6603556
2,0,7,1,10.014623
2,0,7,2,5.3470364
2,0,7,3,7.1560574
2,0,7,4,3.5425596
2,0,7,5,2.058376
2,0,7,6,2.4851377
2,0,7,7,1.9623986
2,0,7,8,1.0698508
2,0,7,9,1.2053971
2,0,7,10,5.3369627
2,0,7,11,3.0277822
2,0,8,0,2.41755
2,0,8,1,5.4329247
2,0,8,2,1.8844407
2,0,8,3,2.3429728
2,0,8,4,8.698456
2,0,8,5,9.715353
2,0,8,6,1.1242181
2,0,8,7,4.627995
2,0,8,8,2.308431
2,0,8,9,5.373563
2,0,8,10,2.8843005
2,0,8,11,10.057874
2,0,9,0,4.057175
2,0,9,1,3.347057
2,0,9,2,1.9107137
2,0,9,3,10.078327
2,0,9,4,1.8825011
2,0,9,5,7.491713
2,0,9,6,2.8519456
2,0,9,7,3.965838
2,0,9,8,7.809883
2,0,9,9,1.0915452
2,0,9,10,14.155887
2,0,9,11,8.013788
2,0,10,0,7.8223767
2,0,10,1,5.7420697
2,0,10,2,2.5918243
2,0,10,3,1.5071812
2,0,10,4,2.3424025
2,0,10,5,2.7939084
2,0,10,6,5.569975
2,0,10,7,12.301375
2,0,10,8,11.904557
2,0,10,9,3.510199
2,0,10,10,1.14181
2,0,10,11,2.3396306
2,0,11,0,3.5627754
2,0,11,1,6.7569075
2,0,11,2,1.4385597
2,0,11,3,0.5107612
2,0,11,4,5.616659
2,0,11,5,3.2683115
2,0,11,6,2.10534
2,0,11,7,9.934555
2,0,11,8,16.31098
2,0,11,9,5.285979
2,0,11,10,9.130257
2,0,11,11,1.3720585
2,1,0,0,3.114519
2,1,0,1,4.9637938
2,1,0,2,1.8238688
2,1,0,3,4.7480407
2,1,0,4,3.1289554
2,1,0,5,3.1539848
2,1,0,6,2.9929936
2,1,0,7,1.3769257
2,1,0,8,6.2550025
2,1,0,9,3.8291416
2,1,0,10,4.13016
2,1,0,11,2.2343333
2,1,1,0,2.7534826
2,1,1,1,2.5167656
2,1,1,2,7.135272
2,1,1,3,4.530223
2,1,1,4,1.7767092
2,1,1,5,4.23586
2,1,1,6,2.0911863
2,1,1,7,3.747129
2,1,1,8,3.1187491
2,1,1,9,3.0015767
2,1,1,10,2.524013
2,1,1,11,2.4445794
2,1,2,0,3.036826
2,1,2,1,1.7292068
2,1,2,2,1.0821718
2,1,2,3,1.0392928
2,1,2,4,3.547493
2,1,2,5,2.1977015
2,1,2,6,2.5161178
2,1,2,7,3.4409192
2,1,2,8,2.191784
2,1,2,9,0.91852057
2,1,2,10,1.7852905
2,1,2,11,4.8578734
2,1,3,0,1.9927285
2,1,3,1,1.947058
2,1,3,2,5.001744
2,1,3,3,2.3832774
2,1,3,4,2.004565
2,1,3,5,1.3022645
2,1,3,6,3.1982257
2,1,3,7,4.9667373
2,1,3,8,4.1254883
2,1,3,9,4.543349
2,1,3,10,1.1258175
2,1,3,11,5.0175467
2,1,4,0,1.1396141
2,1,4,1,3.6190047
2,1,4,2,0.72514045
2,1,4,3,2.482238
2,1,4,4,1.277635
2,1,4,5,1.8932025
2,1,4,6,0.9867202
2,1,4,7,2.1494288
2,1,4,8,3.1831293
2,1,4,9,2.152952
2,1,4,10,2.509625
2,1,4,11,4.452401
2,1,5,0,3.1002
2,1,5,1,1.4640467
2,1,5,2,1.7059412
2,1,5,3,1.3852327
2,1,5,4,5.557982
2,1,5,5,1.0985405
2,1,5,6,6.0334578
2,1,5,7,1.1228197
2,1,5,8,7.623357
2,1,5,9,2.4772484
2,1,5,10,12.326182
2,1,5,11,2.7338676
2,1,6,0,1.6449245
2,1,6,1,3.7421002
2,1,6,2,9.906176
2,1,6,3,10.324194
2,1,6,4,0.98017406
2,1,6,5,0.75319356
2,1,6,6,3.1964593
2,1,6,7,2.3378563
2,1,6,8,1.2046068
2,1,6,9,2.4810348
2,1,6,10,1.0767977
2,1,6,11,1.2737782
2,1,7,0,1.9648412
2,1,7,1,5.082774
2,1,7,2,2.9981072
2,1,7,3,9.321422
2,1,7,4,5.045512
2,1,7,5,6.5640244
2,1,7,6,2.2073464
2,1,7,7,2.2719638
2,1,7,8,0.54686165
2,1,7,9,1.4198415
2,1,7,10,4.760339
2,1,7,11,1.7153342
2,1,8,0,3.6372871
2,1,8,1,3.8471158
2,1,8,2,3.210997
2,1,8,3,1.3255469
2,1,8,4,10.0884905
2,1,8,5,5.103546
2,1,8,6,0.9105234
2,1,8,7,2.4368796
2,1,8,8,3.5645604
2,1,8,9,8.470282
2,1,8,10,2.4594378
2,1,8,11,8.998019
2,1,9,0,6.7367797
2,1,9,1,2.2779899
2,1,9,2,2.4373684
2,1,9,3,15.646637
2,1,9,4,2.0810583
2,1,9,5,4.345513
2,1,9,6,2.3149915
2,1,9,7,2.5009208
2,1,9,8,2.9536297
2,1,9,9,2.0464225
2,1,9,10,8.762354
2,1,9,11,3.1077867
2,1,10,0,5.4523544
2,1,10,1,2.1414418
2,1,10,2,2.0034165
2,1,10,3,2.8397365
2,1,10,4,3.6630836
2,1,10,5,2.242693
2,1,10,6,4.6598973
2,1,10,7,7.9938927
2,1,10,8,13.461481
2,1,10,9,4.3234987
2,1,10,10,2.6007037
2,1,10,11,3.6627228
2,1,11,0,2.8195596
2,1,11,1,2.1934721
2,1,11,2,2.606361
2,1,11,3,4.1035843
2,1,11,4,5.820857
2,1,11,5,6.0422564
2,1,11,6,1.9360183
2,1,11,7,4.626438
2,1,11,8,9.174721
2,1,11,9,9.959693
2,1,11,10,7.7658525
2,1,11,11,1.939422
2,2,0,0,4.025123
2,2,0,1,4.949879
2,2,0,2,2.3681595
2,2,0,3,3.5009983
2,2,0,4,2.7950737
2,2,0,5,3.3220737
2,2,0,6,2.3568559
2,2,0,7,1.6984285
2,2,0,8,6.1115904
2,2,0,9,3.6123211
2,2,0,10,3.6895003
2,2,0,11,2.9728293
2,2,1,0,2.5007088
2,2,1,1,1.3527355
2,2,1,2,3.5108743
2,2,1,3,3.418579
2,2,1,4,1.5855831
2,2,1,5,2.4447653
2,2,1,6,3.8602638
2,2,1,7,1.8675144
2,2,1,8,1.5132738
2,2,1,9,3.5248065
2,2,1,10,2.507172
2,2,1,11,1.3460982
2,2,2,0,3.120983
2,2,2,1,2.443519
2,2,2,2,0.71729136
2,2,2,3,1.3798103
2,2,2,4,0.809333
2,2,2,5,1.6525885
2,2,2,6,1.7655808
2,2,2,7,2.8729002
2,2,2,8,2.301207
2,2,2,9,1.1692379
2,2,2,10,2.0758605
2,2,2,11,6.348232
2,2,3,0,2.5177221
2,2,3,1,2.201527
2,2,3,2,6.19592
2,2,3,3,2.3301973
2,2,3,4,0.9028265
2,2,3,5,0.847133
2,2,3,6,2.7392306
2,2,3,7,6.4917107
2,2,3,8,3.2092025
2,2,3,9,3.3702435
2,2,3,10,1.6310135
2,2,3,11,1.872078
2,2,4,0,1.043069
2,2,4,1,2.1406107
2,2,4,2,2.6950636
2,2,4,3,2.8267581
2,2,4,4,1.0509448
2,2,4,5,1.7493961
2,2,4,6,2.1863735
2,2,4,7,1.5805454
2,2,4,8,3.7611785
2,2,4,9,0.9543787
2,2,4,10,2.2785506
2,2,4,11,2.166751
2,2,5,0,2.3552024
2,2,5,1,2.170342
2,2,5,2,2.1817997
2,2,5,3,1.4533427
2,2,5,4,3.528257
2,2,5,5,1.7888107
2,2,5,6,4.1921806
2,2,5,7,1.0414522
2,2,5,8,4.3775396
2,2,5,9,1.9281145
2,2,5,10,10.990784
2,2,5,11,3.1721132
2,2,6,0,2.2897065
2,2,6,1,3.7290165
2,2,6,2,3.464888
2,2,6,3,6.5415916
2,2,6,4,0.851439
2,2,6,5,0.7348262
2,2,6,6,3.6063614
2,2,6,7,4.152548
2,2,6,8,1.91637
2,2,6,9,1.7696171
2,2,6,10,1.9870026
2,2,6,11,2.020906
2,2,7,0,1.540933
2,2,7,1,1.5944884
2,2,7,2,2.0761771
2,2,7,3,7.3349113
2,2,7,4,3.707706
2,2,7,5,5.6116524
2,2,7,6,1.0697125
2,2,7,7,1.4598238
2,2,7,8,0.69347656
2,2,7,9,1.2276653
2,2,7,10,3.4456573
2,2,7,11,1.7466097
2,2,8,0,2.8946862
2,2,8,1,1.3241562
2,2,8,2,5.2828307
2,2,8,3,1.6072147
2,2,8,4,10.781878
2,2,8,5,5.786053
2,2,8,6,1.2441885
2,2,8,7,1.6408107
2,2,8,8,2.5016918
2,2,8,9,6.0308914
2,2,8,10,3.730022
2,2,8,11,7.3062677
2,2,9,0,5.1065016
2,2,9,1,3.3997917
2,2,9,2,2.7620378
2,2,9,3,19.007282
2,2,9,4,2.2090824
2,2,9,5,8.843463
2,2,9,6,1.9741348
2,2,9,7,1.1782374
2,2,9,8,7.0133705
2,2,9,9,1.563566
2,2,9,10,9.5186825
2,2,9,11,1.7399025
2,2,10,0,9.316505
2,2,10,1,1.089261
2,2,10,2,0.8658559
2,2,10,3,0.6202872
2,2,10,4,3.7972615
2,2,10,5,1.522711
2,2,10,6,4.0991273
2,2,10,7,10.00869
2,2,10,8,12.778414
2,2,10,9,3.1188667
2,2,10,10,2.5706139
2,2,10,11,3.5209785
2,2,11,0,1.2622458
2,2,11,1,0.951914
2,2,11,2,1.5528082
2,2,11,3,0.6761856
2,2,11,4,7.5802665
2,2,11,5,6.7363396
2,2,11,6,2.011229
2,2,11,7,7.4399543
2,2,11,8,9.0279
2,2,11,9,6.519706
2,2,11,10,7.4774513
2,2,11,11,1.9411306
2,3,0,0,3.3363686
2,3,0,1,5.1372733
2,3,0,2,2.3097615
2,3,0,3,3.725018
2,3,0,4,3.3763645
2,3,0,5,2.013531
2,3,0,6,2.5688844
2,3,0,7,2.380033
2,3,0,8,6.6665688
2,3,0,9,3.703321
2,3,0,10,3.2677817
2,3,0,11,1.8354805
2,3,1,0,2.7674215
2,3,1,1,2.5702271
2,3,1,2,5.2795286
2,3,1,3,3.4490962
2,3,1,4,1.7556686
2,3,1,5,4.312916
2,3,1,6,2.2347517
