category,sample_idx,layer_idx,head_idx,kl
2,0,0,0,1.8247932
2,0,0,1,2.2350478
2,0,0,2,0.96631044
2,0,0,3,2.1189823
2,0,0,4,3.8180976
2,0,0,5,1.7435688
2,0,0,6,1.39606
2,0,0,7,1.268118
2,0,0,8,2.092396
2,0,0,9,3.4943001
2,0,0,10,1.5942441
2,0,0,11,0.9566881
2,0,1,0,1.6445918
2,0,1,1,3.1536608
2,0,1,2,1.0212325
2,0,1,3,1.5357064
2,0,1,4,1.539255
2,0,1,5,1.4629471
2,0,1,6,6.1815066
2,0,1,7,3.0604103
2,0,1,8,4.6815505
2,0,1,9,4.6725554
2,0,1,10,2.4435549
2,0,1,11,1.3620678
2,0,2,0,2.6577263
2,0,2,1,2.3764665
2,0,2,2,8.770766
2,0,2,3,6.0469074
2,0,2,4,0.751713
2,0,2,5,7.984558
2,0,2,6,1.3920401
2,0,2,7,5.1284595
2,0,2,8,1.6807002
2,0,2,9,0.61108977
2,0,2,10,1.0798564
2,0,2,11,9.796798
2,0,3,0,1.542726
2,0,3,1,6.3487034
2,0,3,2,5.915288
2,0,3,3,4.0139165
2,0,3,4,2.6861403
2,0,3,5,2.681874
2,0,3,6,3.6591783
2,0,3,7,2.8161917
2,0,3,8,4.9831877
2,0,3,9,0.77272296
2,0,3,10,1.3799037
2,0,3,11,2.10432
2,0,4,0,0.72126156
2,0,4,1,1.8680516
2,0,4,2,2.1706502
2,0,4,3,1.3945149
2,0,4,4,4.4979453
2,0,4,5,1.6289706
2,0,4,6,1.8352078
2,0,4,7,3.4446466
2,0,4,8,0.92545664
2,0,4,9,1.563071
2,0,4,10,3.141182
2,0,4,11,5.680438
2,0,5,0,2.2589853
2,0,5,1,2.2622337
2,0,5,2,3.5421607
2,0,5,3,2.233882
2,0,5,4,2.385472
2,0,5,5,1.2766377
2,0,5,6,7.513797
2,0,5,7,6.175978
2,0,5,8,0.9696531
2,0,5,9,2.7843907
2,0,5,10,2.0937295
2,0,5,11,3.0638397
2,0,6,0,1.0182372
2,0,6,1,8.072659
2,0,6,2,1.0920964
2,0,6,3,2.451339
2,0,6,4,2.942048
2,0,6,5,7.976478
2,0,6,6,1.5628282
2,0,6,7,9.502506
2,0,6,8,0.9216923
2,0,6,9,1.030313
2,0,6,10,5.8109202
2,0,6,11,4.968393
2,0,7,0,1.2390784
2,0,7,1,2.3325503
2,0,7,2,1.8676269
2,0,7,3,3.8462985
2,0,7,4,6.044518
2,0,7,5,4.321991
2,0,7,6,6.037822
2,0,7,7,0.2876449
2,0,7,8,7.472829
2,0,7,9,3.7516074
2,0,7,10,1.2546147
2,0,7,11,2.6877623
2,0,8,0,3.0957956
2,0,8,1,6.440445
2,0,8,2,1.2972646
2,0,8,3,5.13562
2,0,8,4,9.194591
2,0,8,5,2.9790099
2,0,8,6,7.5823164
2,0,8,7,1.9907799
2,0,8,8,11.407174
2,0,8,9,1.302681
2,0,8,10,9.580109
2,0,8,11,1.9364575
2,0,9,0,4.3050556
2,0,9,1,6.4196544
2,0,9,2,0.94689506
2,0,9,3,3.781688
2,0,9,4,4.703374
2,0,9,5,5.2498126
2,0,9,6,4.337721
2,0,9,7,0.616857
2,0,9,8,2.0758016
2,0,9,9,2.106384
2,0,9,10,7.6724873
2,0,9,11,2.3867629
2,0,10,0,5.196504
2,0,10,1,1.8266418
2,0,10,2,6.592439
2,0,10,3,4.5088487
2,0,10,4,13.567099
2,0,10,5,2.0665224
2,0,10,6,0.5137428
2,0,10,7,5.068188
2,0,10,8,2.935472
2,0,10,9,2.423803
2,0,10,10,3.2170408
2,0,10,11,2.0982606
2,0,11,0,3.7041473
2,0,11,1,4.3935804
2,0,11,2,4.730665
2,0,11,3,4.4397173
2,0,11,4,8.746425
2,0,11,5,2.0539522
2,0,11,6,1.960345
2,0,11,7,1.9347767
2,0,11,8,4.6053576
2,0,11,9,8.82793
2,0,11,10,1.2997886
2,0,11,11,1.934079
2,1,0,0,1.3127935
2,1,0,1,1.218222
2,1,0,2,1.0696834
2,1,0,3,0.91183794
2,1,0,4,2.7395694
2,1,0,5,1.0552416
2,1,0,6,1.4148891
2,1,0,7,1.4153982
2,1,0,8,1.688863
2,1,0,9,2.4689155
2,1,0,10,1.7627178
2,1,0,11,0.7699494
2,1,1,0,3.151082
2,1,1,1,1.7989328
2,1,1,2,1.1106229
2,1,1,3,1.1775875
2,1,1,4,1.5629649
2,1,1,5,1.7837044
2,1,1,6,4.8625426
2,1,1,7,3.9071999
2,1,1,8,3.9295888
2,1,1,9,4.751062
2,1,1,10,1.609404
2,1,1,11,1.3569787
2,1,2,0,2.0480313
2,1,2,1,1.924937
2,1,2,2,7.0755854
2,1,2,3,5.4763994
2,1,2,4,1.1650676
2,1,2,5,3.3966966
2,1,2,6,2.0268192
2,1,2,7,3.986815
2,1,2,8,1.8995543
2,1,2,9,0.31851047
2,1,2,10,0.808531
2,1,2,11,6.9115477
2,1,3,0,1.2917507
2,1,3,1,2.7477174
2,1,3,2,2.841126
2,1,3,3,3.5961514
2,1,3,4,2.1424232
2,1,3,5,3.8924499
2,1,3,6,3.4995484
2,1,3,7,3.5251584
2,1,3,8,3.5571244
2,1,3,9,0.63993824
2,1,3,10,0.7546261
2,1,3,11,2.2441123
2,1,4,0,0.19011135
2,1,4,1,0.6440543
2,1,4,2,1.5557191
2,1,4,3,1.2146758
2,1,4,4,3.6240335
2,1,4,5,1.3982735
2,1,4,6,2.6607041
2,1,4,7,2.0211508
2,1,4,8,0.78686297
2,1,4,9,0.7754772
2,1,4,10,3.6970754
2,1,4,11,5.6498466
2,1,5,0,1.8110157
2,1,5,1,2.588082
2,1,5,2,2.535656
2,1,5,3,2.5207834
2,1,5,4,0.5375472
2,1,5,5,1.0968523
2,1,5,6,8.973036
2,1,5,7,5.36037
2,1,5,8,0.8239743
2,1,5,9,0.44872317
2,1,5,10,1.8366104
2,1,5,11,4.4432917
2,1,6,0,1.0189846
2,1,6,1,5.638997
2,1,6,2,2.1051273
2,1,6,3,2.8080354
2,1,6,4,4.194523
2,1,6,5,9.00351
2,1,6,6,0.88233364
2,1,6,7,8.378127
2,1,6,8,0.9255253
2,1,6,9,0.7500301
2,1,6,10,2.5553892
2,1,6,11,1.9251543
2,1,7,0,0.6956217
2,1,7,1,1.7850034
2,1,7,2,0.5402082
2,1,7,3,3.7882621
2,1,7,4,3.6326923
2,1,7,5,1.2714908
2,1,7,6,5.477414
2,1,7,7,1.8727993
2,1,7,8,7.076513
2,1,7,9,4.026664
2,1,7,10,2.0943666
2,1,7,11,6.6369333
2,1,8,0,5.124078
2,1,8,1,1.4591358
2,1,8,2,0.20690162
2,1,8,3,3.080401
2,1,8,4,4.7928286
2,1,8,5,1.8032959
2,1,8,6,8.283529
2,1,8,7,3.308908
2,1,8,8,8.136988
2,1,8,9,2.0635467
2,1,8,10,7.938861
2,1,8,11,1.4280097
2,1,9,0,4.9273043
2,1,9,1,6.2110186
2,1,9,2,1.9982951
2,1,9,3,0.5747794
2,1,9,4,6.7827406
2,1,9,5,1.0955867
2,1,9,6,3.8277183
2,1,9,7,4.313811
2,1,9,8,1.3853514
2,1,9,9,2.4466658
2,1,9,10,14.516377
2,1,9,11,1.0781497
2,1,10,0,3.0835361
2,1,10,1,0.33384404
2,1,10,2,9.976088
2,1,10,3,5.2666473
2,1,10,4,12.486896
2,1,10,5,2.1076725
2,1,10,6,0.9360627
2,1,10,7,4.913606
2,1,10,8,2.545685
2,1,10,9,3.0467598
2,1,10,10,2.6484447
2,1,10,11,1.5072489
2,1,11,0,4.392212
2,1,11,1,5.725126
2,1,11,2,3.3854778
2,1,11,3,3.813266
2,1,11,4,7.879322
2,1,11,5,1.0111163
2,1,11,6,2.193132
2,1,11,7,4.031623
2,1,11,8,2.9661307
2,1,11,9,4.3318315
2,1,11,10,1.9508578
2,1,11,11,1.7361219
2,2,0,0,1.7651933
2,2,0,1,1.392384
2,2,0,2,1.0551902
2,2,0,3,0.9060877
2,2,0,4,1.9387203
2,2,0,5,0.7994611
2,2,0,6,0.47770244
2,2,0,7,0.7205145
2,2,0,8,2.9898677
2,2,0,9,2.699876
2,2,0,10,2.5826406
2,2,0,11,0.53489596
2,2,1,0,1.9950266
2,2,1,1,3.7218418
2,2,1,2,2.5209274
2,2,1,3,1.33687
2,2,1,4,1.6114037
2,2,1,5,2.6545184
2,2,1,6,7.408042
2,2,1,7,1.8217319
2,2,1,8,3.2816265
2,2,1,9,3.561748
2,2,1,10,0.9417804
2,2,1,11,1.6223332
2,2,2,0,1.189779
2,2,2,1,1.2709323
2,2,2,2,7.9760413
2,2,2,3,5.729125
2,2,2,4,1.6601229
2,2,2,5,2.2483425
2,2,2,6,5.2428255
2,2,2,7,2.4871242
2,2,2,8,0.8870775
2,2,2,9,0.86938506
2,2,2,10,0.34137693
2,2,2,11,0.93258226
2,2,3,0,0.8601552
2,2,3,1,1.9830353
2,2,3,2,8.805066
2,2,3,3,4.4990854
2,2,3,4,1.1097753
2,2,3,5,1.9437412
2,2,3,6,2.4551077
2,2,3,7,0.4898002
2,2,3,8,1.7504066
2,2,3,9,1.35621
2,2,3,10,0.51808125
2,2,3,11,0.8076458
2,2,4,0,0.33344635
2,2,4,1,0.31067908
2,2,4,2,2.6673183
2,2,4,3,1.639826
2,2,4,4,0.544999
2,2,4,5,0.7767182
2,2,4,6,2.2231736
2,2,4,7,1.5335101
2,2,4,8,0.9860935
2,2,4,9,1.2310331
2,2,4,10,2.0912507
2,2,4,11,2.774743
