category,sample_idx,layer_idx,head_idx,kl
2,0,0,0,4.9145207
2,0,0,1,4.1068525
2,0,0,2,5.2751102
2,0,0,3,4.5620847
2,0,0,4,6.933322
2,0,0,5,3.3358955
2,0,0,6,3.6391191
2,0,0,7,8.537843
2,0,0,8,1.9750781
2,0,0,9,2.042633
2,0,0,10,5.881544
2,0,0,11,4.1160946
2,0,1,0,4.9399724
2,0,1,1,3.8303607
2,0,1,2,3.2187097
2,0,1,3,3.3355546
2,0,1,4,3.417362
2,0,1,5,2.223675
2,0,1,6,4.1072125
2,0,1,7,2.7495446
2,0,1,8,7.5512724
2,0,1,9,8.002
2,0,1,10,3.304109
2,0,1,11,3.2800179
2,0,2,0,2.246659
2,0,2,1,5.465876
2,0,2,2,5.5217304
2,0,2,3,3.5875902
2,0,2,4,8.722333
2,0,2,5,2.8691306
2,0,2,6,6.568849
2,0,2,7,5.1811023
2,0,2,8,2.1834147
2,0,2,9,3.860678
2,0,2,10,2.219629
2,0,2,11,2.117183
2,0,3,0,4.2453785
2,0,3,1,6.2961454
2,0,3,2,2.7236664
2,0,3,3,5.2495623
2,0,3,4,5.2530103
2,0,3,5,1.5885402
2,0,3,6,1.952369
2,0,3,7,7.4211774
2,0,3,8,3.08762
2,0,3,9,2.1489782
2,0,3,10,1.9247669
2,0,3,11,2.8740723
2,0,4,0,3.7023351
2,0,4,1,1.4808922
2,0,4,2,1.1326057
2,0,4,3,2.1397238
2,0,4,4,4.160966
2,0,4,5,4.5500536
2,0,4,6,3.0927446
2,0,4,7,2.8606024
2,0,4,8,4.331419
2,0,4,9,3.7832818
2,0,4,10,9.430829
2,0,4,11,7.083902
2,0,5,0,3.7515626
2,0,5,1,3.0200944
2,0,5,2,12.6631565
2,0,5,3,5.3227477
2,0,5,4,5.0383234
2,0,5,5,2.7608652
2,0,5,6,3.4099197
2,0,5,7,2.6955893
2,0,5,8,0.7282425
2,0,5,9,1.6960632
2,0,5,10,6.8716884
2,0,5,11,2.9562635
2,0,6,0,1.5919871
2,0,6,1,8.024952
2,0,6,2,1.2566235
2,0,6,3,5.167251
2,0,6,4,1.7942234
2,0,6,5,2.5259688
2,0,6,6,1.8210579
2,0,6,7,2.7917895
2,0,6,8,1.7811673
2,0,6,9,2.2565901
2,0,6,10,7.9390697
