category,sample_idx,layer_idx,head_idx,kl
2,0,0,0,2.6791534
2,0,0,1,1.5677307
2,0,0,2,3.6221206
2,0,0,3,1.3665106
2,0,0,4,3.0242126
2,0,0,5,2.8519197
2,0,0,6,2.1937807
2,0,0,7,1.7076766
2,0,0,8,2.325722
2,0,0,9,1.0503109
2,0,0,10,0.8798831
2,0,0,11,4.0713415
2,0,1,0,6.862808
2,0,1,1,3.2407558
2,0,1,2,2.9531846
2,0,1,3,3.8104317
2,0,1,4,2.0797086
2,0,1,5,2.8234422
2,0,1,6,6.116879
2,0,1,7,3.786583
2,0,1,8,5.9421434
2,0,1,9,3.5784657
2,0,1,10,0.9031665
2,0,1,11,2.5644355
2,0,2,0,4.293756
2,0,2,1,4.6726165
2,0,2,2,3.354815
2,0,2,3,2.0206883
2,0,2,4,5.4690084
2,0,2,5,3.3584971
2,0,2,6,2.651752
2,0,2,7,2.2386272
2,0,2,8,3.2583623
2,0,2,9,4.038253
2,0,2,10,4.3344626
2,0,2,11,2.2561536
2,0,3,0,2.7391326
2,0,3,1,2.467289
2,0,3,2,5.752158
2,0,3,3,2.899148
2,0,3,4,4.3884096
2,0,3,5,4.202595
2,0,3,6,4.635564
2,0,3,7,1.75721
2,0,3,8,2.246634
2,0,3,9,1.5132667
2,0,3,10,0.6955067
2,0,3,11,4.3977175
2,0,4,0,2.799749
2,0,4,1,5.4415483
2,0,4,2,3.6951587
2,0,4,3,4.5025325
2,0,4,4,1.1347201
2,0,4,5,8.865057
2,0,4,6,3.3848565
2,0,4,7,4.7294865
2,0,4,8,2.436317
2,0,4,9,3.7010627
2,0,4,10,1.4398044
2,0,4,11,2.4542582
2,0,5,0,4.097326
2,0,5,1,0.9734557
2,0,5,2,1.5823443
2,0,5,3,1.2737348
2,0,5,4,4.8574
2,0,5,5,0.6905629
2,0,5,6,1.0404255
2,0,5,7,3.3174443
2,0,5,8,1.9675238
2,0,5,9,2.9685795
2,0,5,10,2.9140413
2,0,5,11,2.8855655
2,0,6,0,4.1858892
2,0,6,1,2.454031
2,0,6,2,3.6436074
2,0,6,3,0.91884756
2,0,6,4,4.401882
2,0,6,5,2.6009502
2,0,6,6,1.5102966
2,0,6,7,2.1455047
2,0,6,8,2.949044
2,0,6,9,2.6112194
2,0,6,10,1.9622924
2,0,6,11,1.4857309
2,0,7,0,5.3450346
2,0,7,1,1.2129728
2,0,7,2,2.4185348
2,0,7,3,1.4928595
2,0,7,4,1.4593983
2,0,7,5,1.2597853
2,0,7,6,5.256724
2,0,7,7,6.2204885
2,0,7,8,3.678405
2,0,7,9,2.9637804
2,0,7,10,6.1573076
2,0,7,11,1.9715961
2,0,8,0,4.2496247
2,0,8,1,8.075907
2,0,8,2,1.6657318
2,0,8,3,5.594617
2,0,8,4,5.444599
2,0,8,5,12.396207
2,0,8,6,4.280855
2,0,8,7,7.3644056
2,0,8,8,1.8534634
2,0,8,9,4.0738497
2,0,8,10,2.5727704
2,0,8,11,0.87569094
2,0,9,0,4.23514
2,0,9,1,5.6875167
2,0,9,2,11.966174
2,0,9,3,3.475802
2,0,9,4,0.6492579
2,0,9,5,1.9015793
2,0,9,6,4.461623
2,0,9,7,11.596264
2,0,9,8,2.698665
2,0,9,9,0.8939368
2,0,9,10,1.3764017
2,0,9,11,8.509319
2,0,10,0,1.3135453
2,0,10,1,2.653286
2,0,10,2,6.2908735
2,0,10,3,0.017241053
2,0,10,4,3.0518305
2,0,10,5,4.320019
2,0,10,6,2.669309
2,0,10,7,3.098138
2,0,10,8,1.8307502
2,0,10,9,2.3115551
2,0,10,10,2.2190833
2,0,10,11,5.083794
2,0,11,0,3.5574422
2,0,11,1,2.8809512
2,0,11,2,4.0869637
2,0,11,3,3.397757
2,0,11,4,1.967716
2,0,11,5,3.0219777
2,0,11,6,1.4306306
2,0,11,7,10.49295
2,0,11,8,4.801342
2,0,11,9,3.9896119
2,0,11,10,2.1330817
2,0,11,11,1.8448776
2,1,0,0,3.6330566
2,1,0,1,1.4722514
2,1,0,2,3.1359
2,1,0,3,2.403987
2,1,0,4,4.830667
2,1,0,5,2.2283912
2,1,0,6,1.4465278
2,1,0,7,2.0270727
2,1,0,8,1.6961489
2,1,0,9,1.4602811
2,1,0,10,1.6138542
2,1,0,11,5.7196493
2,1,1,0,5.505862
2,1,1,1,3.6039479
2,1,1,2,2.646108
2,1,1,3,3.899393
2,1,1,4,2.4987662
2,1,1,5,3.7581348
2,1,1,6,4.639056
2,1,1,7,3.3359337
2,1,1,8,3.1732426
2,1,1,9,3.8441582
2,1,1,10,2.142054
2,1,1,11,2.4583304
2,1,2,0,4.8104854
2,1,2,1,4.0450068
2,1,2,2,3.578254
2,1,2,3,2.6915047
2,1,2,4,4.5827947
2,1,2,5,3.9229393
2,1,2,6,2.6600976
2,1,2,7,1.3889804
2,1,2,8,3.0647235
2,1,2,9,3.2051537
2,1,2,10,5.254671
2,1,2,11,1.6019957
2,1,3,0,2.7064223
2,1,3,1,2.3891895
2,1,3,2,5.0852737
2,1,3,3,2.0422032
2,1,3,4,3.539601
2,1,3,5,3.526514
2,1,3,6,4.89121
2,1,3,7,2.9958389
2,1,3,8,2.5907907
2,1,3,9,1.1683648
2,1,3,10,1.7180761
2,1,3,11,4.23967
2,1,4,0,2.3838737
2,1,4,1,2.955375
2,1,4,2,3.4942894
2,1,4,3,2.5582032
2,1,4,4,0.9407647
2,1,4,5,7.0000525
2,1,4,6,1.3597186
2,1,4,7,3.8716843
2,1,4,8,2.403632
2,1,4,9,3.6985078
2,1,4,10,0.92169344
2,1,4,11,3.1231031
2,1,5,0,4.9211936
2,1,5,1,2.5585656
2,1,5,2,3.3582158
2,1,5,3,1.3546207
2,1,5,4,4.525522
2,1,5,5,0.94094956
2,1,5,6,1.8275074
2,1,5,7,2.4686625
2,1,5,8,2.0184355
2,1,5,9,2.9142542
2,1,5,10,2.9827902
2,1,5,11,2.782709
2,1,6,0,4.057189
2,1,6,1,2.2828164
2,1,6,2,3.1926243
2,1,6,3,1.2784888
2,1,6,4,3.1247935
2,1,6,5,2.6357903
2,1,6,6,1.7580999
2,1,6,7,3.4950264
2,1,6,8,1.4451963
2,1,6,9,2.4270504
2,1,6,10,2.632156
2,1,6,11,1.1582386
2,1,7,0,4.330098
2,1,7,1,1.2342482
2,1,7,2,3.0068214
2,1,7,3,1.3713651
2,1,7,4,1.904034
2,1,7,5,0.64621234
2,1,7,6,6.490561
2,1,7,7,7.582596
2,1,7,8,1.8772348
2,1,7,9,3.2027767
2,1,7,10,2.7741697
2,1,7,11,0.77153605
2,1,8,0,0.50591123
2,1,8,1,7.945436
2,1,8,2,2.3533335
2,1,8,3,4.391707
2,1,8,4,4.6959777
2,1,8,5,12.206659
2,1,8,6,3.926051
2,1,8,7,4.8435273
2,1,8,8,2.4077637
2,1,8,9,4.130648
2,1,8,10,1.1141192
2,1,8,11,0.6770633
2,1,9,0,3.0592399
2,1,9,1,5.04528
2,1,9,2,14.511091
2,1,9,3,6.1960254
2,1,9,4,0.8691906
2,1,9,5,2.0454216
2,1,9,6,3.055694
2,1,9,7,11.361001
