category,sample_idx,layer_idx,max_attn_idx
2,0,10,0-1-2-2-2-2-2-0-0-0
2,0,10,0-1-2-2-2-2-2-0-0-0
2,0,10,0-0-2-2-2-2-2-7-8-8
2,0,10,0-1-1-1-3-1-6-6-8-8
2,0,10,0-1-1-1-3-1-6-7-7-9
2,0,10,0-1-2-3-2-2-2-0-7-7
2,0,10,0-1-2-2-2-2-2-0-7-7
2,0,10,0-1-2-2-2-2-2-7-8-8
2,0,10,0-1-2-2-2-2-2-0-0-1
2,0,10,0-1-2-2-2-2-2-7-8-8
2,0,11,0-1-2-3-3-3-4-1-8-8
2,0,11,0-1-1-1-1-1-0-0-8-9
2,0,11,0-0-1-1-1-1-6-6-8-7
2,0,11,0-1-2-2-2-2-2-7-7-7
2,0,11,0-1-2-3-4-4-6-0-8-8
2,0,11,0-1-2-2-2-2-2-2-5-5
2,0,11,0-1-2-2-2-2-2-7-8-9
2,0,11,0-1-2-2-2-2-2-7-8-8
2,0,11,0-1-2-3-2-3-6-2-7-7
2,0,11,0-1-2-2-2-2-3-0-8-8
2,0,11,0-0-2-2-2-2-2-7-7-7
2,0,11,0-1-2-2-2-2-2-7-7-7
2,1,0,0-1-2-0-1-1-1-5-7-8
2,1,0,0-1-2-2-4-4-6-7-8-3
2,1,0,0-1-2-3-3-1-1-6-2-9
2,1,0,0-0-2-2-4-4-0-3-7-8
2,1,0,0-1-1-0-4-0-2-1-7-1
2,1,0,0-1-2-3-1-3-3-7-6-5
2,1,0,0-1-1-2-4-1-1-1-3-4
2,1,0,0-1-1-3-2-4-6-7-8-9
2,1,0,0-0-2-2-4-4-6-0-7-0
2,1,0,0-1-2-3-3-4-3-3-8-2
2,1,0,0-0-1-3-0-3-0-4-6-7
2,1,0,0-0-1-3-1-4-1-5-1-1
2,1,1,0-1-2-1-1-5-2-5-7-5
2,1,1,0-0-0-0-4-4-6-4-4-4
2,1,1,0-1-1-3-4-3-4-4-7-5
2,1,1,0-1-1-3-4-2-2-0-7-8
2,1,1,0-1-1-2-3-5-6-6-6-9
2,1,1,0-0-2-3-0-0-2-7-6-9
2,1,1,0-0-2-2-3-4-1-1-1-1
2,1,1,0-1-2-3-2-1-1-5-5-5
2,1,1,0-1-2-2-2-1-2-2-8-5
2,1,1,0-1-1-3-3-4-4-0-7-4
2,1,1,0-1-2-2-0-3-2-7-8-8
2,1,1,0-1-1-1-1-1-1-5-7-2
2,1,2,0-0-2-3-3-2-2-7-7-7
2,1,2,0-1-1-1-1-1-2-7-8-8
2,1,2,0-0-1-2-2-3-3-7-1-1
2,1,2,0-1-2-2-2-2-2-0-0-0
2,1,2,0-1-1-1-2-5-6-7-8-7
2,1,2,0-0-1-3-3-5-6-4-4-4
2,1,2,0-1-1-2-1-2-2-7-7-9
2,1,2,0-1-2-3-2-4-2-7-7-7
2,1,2,0-0-1-2-2-2-2-5-5-5
2,1,2,0-0-2-2-2-2-2-7-7-7
2,1,2,0-0-1-2-2-2-2-7-8-1
2,1,2,0-0-2-2-2-2-6-7-8-8
2,1,3,0-1-2-2-2-2-6-7-8-7
2,1,3,0-1-2-1-0-0-2-0-0-0
2,1,3,0-0-2-2-2-2-2-7-8-8
2,1,3,0-1-2-2-2-2-6-7-8-9
2,1,3,0-1-1-1-4-1-2-7-8-8
2,1,3,0-1-2-2-2-2-2-7-7-7
2,1,3,0-1-2-2-2-5-5-7-7-7
2,1,3,0-0-2-2-2-2-2-7-8-8
2,1,3,0-1-1-2-2-1-6-7-7-7
2,1,3,0-1-2-2-2-1-1-1-6-9
2,1,3,0-1-2-2-2-2-2-7-0-0
2,1,3,0-1-2-2-2-2-2-7-7-7
2,1,4,0-0-2-1-2-1-2-1-1-9
2,1,4,0-0-2-2-4-4-4-7-8-2
2,1,4,0-0-2-2-2-2-2-0-0-0
2,1,4,0-1-2-2-2-2-2-5-0-0
2,1,4,0-0-2-2-2-2-2-7-8-9
2,1,4,0-1-2-2-2-2-2-7-7-9
2,1,4,0-1-2-2-2-2-2-0-0-0
2,1,4,0-1-2-2-2-2-6-0-0-9
2,1,4,0-1-2-2-2-2-2-0-0-0
2,1,4,0-1-2-2-2-2-2-7-8-8
2,1,4,0-1-2-2-2-2-2-0-0-0
2,1,4,0-1-2-2-2-2-6-7-8-9
2,1,5,0-1-2-2-2-2-2-0-0-0
2,1,5,0-1-2-2-2-2-2-7-7-7
2,1,5,0-1-2-2-2-2-2-1-0-0
2,1,5,0-1-2-2-2-2-2-7-7-7
2,1,5,0-1-1-2-2-2-2-2-1-1
2,1,5,0-1-2-2-2-2-2-7-7-7
2,1,5,0-1-2-2-2-2-2-0-0-0
2,1,5,0-1-1-1-1-2-2-7-8-0
2,1,5,0-1-2-2-2-2-2-7-8-0
2,1,5,0-0-2-2-2-2-2-7-0-0
2,1,5,0-1-2-2-2-2-2-7-8-8
2,1,5,0-1-1-2-2-2-1-7-7-0
2,1,6,0-1-2-2-2-2-2-6-0-0
2,1,6,0-1-1-1-1-1-2-7-8-9
2,1,6,0-1-2-2-2-2-2-7-8-8
2,1,6,0-1-2-2-2-2-6-6-8-0
2,1,6,0-1-2-2-2-2-2-7-8-8
2,1,6,0-0-2-0-2-2-2-2-0-9
2,1,6,0-0-0-0-0-2-2-0-0-0
2,1,6,0-1-1-2-2-2-2-7-8-8
2,1,6,0-1-2-2-2-2-2-7-7-0
2,1,6,0-1-2-3-3-3-2-7-8-9
2,1,6,0-0-2-2-2-2-6-7-8-8
2,1,6,0-1-1-1-1-1-1-7-8-0
2,1,7,0-1-2-2-2-2-2-2-5-5
2,1,7,0-1-2-2-2-2-1-7-8-8
2,1,7,0-1-2-2-2-2-6-6-2-9
2,1,7,0-1-1-3-3-5-6-7-8-9
2,1,7,0-1-1-3-3-5-5-0-8-9
2,1,7,0-1-2-2-2-2-2-7-8-8
2,1,7,0-1-2-2-2-2-2-7-7-7
2,1,7,0-1-2-2-4-2-2-7-6-6
2,1,7,0-1-2-2-2-2-2-7-8-8
2,1,7,0-1-1-1-1-1-6-2-8-9
2,1,7,0-1-2-2-2-2-2-7-8-8
2,1,7,0-1-2-2-2-2-2-0-0-0
2,1,8,0-1-2-2-2-2-2-0-8-9
2,1,8,0-1-1-1-1-1-1-7-8-9
2,1,8,0-1-2-2-2-2-2-0-0-9
2,1,8,0-1-2-2-2-2-2-7-8-8
2,1,8,0-1-2-2-2-2-6-6-0-9
2,1,8,0-1-2-2-2-2-2-7-7-7
2,1,8,0-1-1-1-1-1-1-7-8-9
2,1,8,0-1-2-2-2-2-2-7-8-8
2,1,8,0-1-2-2-2-2-2-7-8-8
2,1,8,0-1-2-1-1-1-1-7-8-8
2,1,8,0-1-2-3-4-4-4-0-8-9
2,1,8,0-1-2-2-2-2-2-0-0-0
2,1,9,0-1-2-2-2-2-6-7-8-8
2,1,9,0-1-1-3-3-5-6-7-8-9
2,1,9,0-1-2-2-2-2-2-2-1-0
